komentar,platform
"Gua dtg ke sini krna barusan udah nonton di televisi, blm habis film nya kira"" udah 40 menitan gua nonton, gua bela""in ke sini mau komen karna Film nya kek anjing gx jelas taik.. no debat gx jelas film nya. sorot nya gx jelas kontrasnya look nya asal asalan gx jelas. nonton ini bukan tegang tp emosi, amatir banget. no debat. itu hak gua komentar.",youtube
Joko Anwar mmngg terdebestt siiihh film² nyaa,youtube
Bang  ceritain  waktu  maghrib  bang,youtube
continental breakfast,youtube
ini film bagus bgt sungguh,youtube
"ᴛᴇʀᴏʀ ɪʙʟɪs ʀᴀᴍɪɴᴏᴍ ʏɢ sᴅɢ ᴍᴇɴᴄᴀʀɪ ᴡᴀᴅᴀᴋ ʙᴀʀᴜ, 😊
ʀᴀᴍɪɴᴏᴍ ᴀᴋᴀ ᴍᴏᴍ. ʀᴀɴɪ ᴀᴛᴀᴜ ʏɢ ᴅɪsᴇʙᴜᴛ ᴅɢɴ ɪʙᴜ ʀᴀᴛᴜ😊
sᴜɴɢɢᴜʜ ᴘʟᴏᴛ ᴛᴡɪsᴛ ʏᴀ ᴘᴇᴍɪʀsᴀ... 😂",youtube
Pengabdi Setan 2: Lin Ziola,youtube
#Lin Ziola #Pengabdi Setan 2,youtube
"overall top markotop film nya. cuma 1, tolong audio suara actor nya di perbagus supaya setiap kata yang keluar bisa terdengar dengan jelas",youtube
Wait for the next sequel,youtube
bapak sama tari... mati nya ya Allah,youtube
Kemarin pengabdi setan2 tayang di tv khusus tahun baru,youtube
Anak nusuk freak😋😝😜 ibu jadi muslim😱,youtube
Kapan masuk netflix ?,youtube
Film ini sangat populer di Bangladesh. Ini adalah film horor berbasis cerita terbaik yang pernah saya lihat. Semoga Allah melindungi kita dari kekuatan jahat,youtube
Where to watch in English,youtube
fff. cnfifjfifjiffjfifjfjfifjfgngifjffdjnsnajnginfkfjfnfifnjffjfjjffjf,youtube
😴😴😴😴😴😴😴,youtube
Tidur aja dekk,youtube
kan ada subtitle Indonesia nya,youtube
​ @Erwan000 capek mata mutar bawah atas bawah atas...sdh ckup nntn film barat bgtu,youtube
pengabdi setan 3 bapak bakal jdi anggota sekte,youtube
 @ReniLestari-tb6xi  eh pliss lu kata siapa?😢,youtube
tayang di Disney doang,youtube
"Thank you, you should watch another Indonesian Horror movie",youtube
WHERE WAS THE STORY? WHAT STORY? SUCK YOUR MOM,youtube
​ @duaislam9477 bikin malu lu kocak,youtube
May god protect us bro,youtube
Umm can anyone tell me where can i watch full movie please,youtube
DARUL Fallah,youtube
"I really like the plot and this movie overall!! I like the Part 1 but I like this even more. Great Indonesian movie ! 👏👏

Filipino fan here.",youtube
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,youtube
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,youtube
"Filmnya udah Keluar Tapi Belum sempet Nonton, seru kata temen saya min 😂

Kalo Pengabdi Setan yang pertama saya udah nonton

Tinggal yang kedua belum",youtube
sumpah filmnya nggak ketebak,youtube
"https://youtube.com/@youtubemoviefilm
https://youtu.be/t4l5dTko2h8",youtube
uda 1th aja,youtube
"sekali bikin film horror gregetan bgt.

setan yg udah kontrak sama manusia kuat kuat",youtube
Any OTT platform ?,youtube
Tara Basro👊👊👊🔥,youtube
Amo estas películas AHHH❤❤❤,youtube
"N,nn,n,n,",youtube
Menurut analisa gw...haha..✌️..Darmina itu .. perempuan yg di adegan terakhir dansa dengan batara itu... sepertinya sosok Jelmaan si RUMINOM...  Foto  Yg di sembah² mayat² di adegan awal....  Ya kan..  telat sih gw..g apa²...dari pada tidak nonton ...🤔,youtube
Youtuber Pasang sekarang dong film bayi ajaib,youtube
"Lebih serem dr yg pertama,seru",youtube
Ini film rating terbaik menurut guaaa serem sedih nya ada disini real 😢❤❤❤❤❤❤,youtube
Bapaknya ganteng 😫,youtube
