komentar,platform
0:11 Ini paduan suarany siapa jir merinding bet aplgi pke headset,youtube
"Gw di tahun 2024 lihat ini lagi jadi keinget Ama siksa kubur punya nya bang jokan , apakah ini semacam spoiler gitu untuk film jokan selanjutnya yang adalah siksa kubur",youtube
"ternyata ini buat siksa kubur anjirr, pantesan g ada scene ini di PS 2",youtube
Adegan ini ternyata “clue” kalau Siksa Kubur bakal jadi next film nya Jokan,youtube
Saya lebih seneng kalau ini jadi teaser Siksa Kubur,youtube
Lebih cocok buat teaser nya siksa kubur sih ini,youtube
Aku Lebih Setuju Ini Jadi Teaser Awal Siksa Kubur,youtube
0:40,youtube
Ajg.... Scene radio ini paling bikin gw takut..padahal hantunya b aja,youtube
RIP tari🥺,youtube
"Pengisi suara nya sapa ya, itu",youtube
scene yg bikin aku takut ya ini! yang ocong-ocongan mah gak terlalu 😭,youtube
".....dan ternyata ini adalah suara Tari (Ratu Felisha) sendiri di Radio, scene saat dia dengerin radio di kamarnya.
Kematian'nya dia udah di spoilerin dulu pas dia masih hidup, dgn penampakan badan dia kelipet diatap,dan nafas yg sesak.
""....sakit,kuburan saya sempit,daging saya digigitin belatung."" Dimana dia mati di tempat pembuangan sampah yg sempit dgn badan kelipet,paha nyentuh buka,
""saya disiksa terus....."" itu pembalasan perbuatan dia saat masih hidup, dimana pekerjaan dia adalah kerja di malam hari alias  Lo&T wkwkwkw",youtube
"Ini fix suara Ratu Felisha, pas di filmnya itu gambarin dia meninggal pas diatas lemari dan suara ini adalah suara dia di siksa. Coba suaranya slow ke 0.5.

Jadi semua yang di ceritain sama Tari (Ratu Felisha) adalah kejadian yang akan dialami setelahnya",youtube
Balik lagi karena Thread tebak-tebakan Joko Anwar di twitter 😄,youtube
Ternyata suara ratu felisha,youtube
"ini suara syp si ??? penasaran bgt sumpah, suarany tari kah? abis nonton juga blom terlalu jelas soalnya",youtube
"gila scene ini pas di filmnya, tegang banget",youtube
"scene ini ada kok wkt tari lagi ngisi tts sambil denger radio, trus ada penelpon nama nya juga tari dan ini isi suaranya persis.",youtube
Ratu Felisha yang Memerankan sebagai Tari,youtube
"Bukan suara ratu felisha itu ada yang ngisi suaranya,pas di credit scene ada namanya itu,tapi saya lupa namanya",youtube
 @tiaranonasution9202  lah baru tau,youtube
"iya kayanya suara tari, adegan dia pas jatuh ditempat sampah berkaitan bgt sama suara ini. ""Kuburan saya sempit"" kemungkinan dia minta tolong kalau dia ada di dalam tempat sampah yang ada di rusun itu.",youtube
Suara Tari di masa depan,youtube
gila ini part the best sih. Ratu Felisha disini dapet banget dan mirip Suzanna sekilas,youtube
Gila abs nnton pengabdi setan 2 trus ksini serem bgt😭☝️,youtube
Tutup telinga dengernya,youtube
Ini suara siapa btw?,youtube
Sepertinya ini suara Ratu Felisha as Tari. Sepertinya Tari pengikut sekte di cerita Communion ini.,youtube
Asli denger nya bikin gw ingat akhirat 😭😭😭 merinding gw,youtube
Dari suara nya sih kayaknya Prilly sih pemeran nya,youtube
"Pelem hantu yang bikinnye joko anwar, dimas djay , rizal mantovani ga ada alesan buat ga nntnn sih",youtube
GAK SABAR.,youtube
Semoga tembus 15 juta,youtube
Ini collab sama cj e&m lagi?,youtube
Wah ga sabar mau nonton Pengabdi Setan,youtube
Teaser nya mirip SIKSA KUBUR,youtube
"hanya suara
merindingnya luar biasa",youtube
"Bruh, jam segini ngeklik ginian, baru denger suaranya aja langsung tutup mata takut ada jumpscare. Dan walopun gak ada tetep aja ngeri. Bener bener harus nonton di bioskop sih ini.",youtube
Klo di banding KKN bagus mana yah😆😆,youtube
Suara doang aja udah bikin merinding anjirrr😭😭,youtube
Film ini apakah sanggup mengalahkan rekor jumlah penontonnya KKN di Desa Penari yg tembus 8jt penonton ? kita tunggu saja.,youtube
"Saya merinding juga, bulu-bulu hidung saya pada berdiri. Apakah badarawuhi kesasar di film ini???...pasti seru Jika dia membawa oleh oleh boneka doll.",youtube
Bangkit perfilman Indonesia,youtube
Cantik bgt ibu felishaa,youtube
Tara basro ke ibunya,youtube
 @ShotoTodoroki-pz6em  Tara manggilnya Ibu,youtube
 @ShotoTodoroki-pz6em  suara tari,youtube
bukan suara Tara Basro yang jelas 😂😂,youtube
 @wintersoldier6433  di filmnya nongol sih suaranya,youtube
"menurut ane ga akan sih
momentum KKN pas banget Lebaran dan Set Up yang udah ada dari jauh-jauh hari
tapi untuk ngalahin film pertamanya sih nampaknya bisa banget
5 juta here we go",youtube
Gw lbh suka dan apresiasi pengalaman menonton sebuah film dan membekas di benak... Di bandingkan bnyk penonton nya cuma gara2 over hype dan gx ada cinema exprience nya,youtube
 @andriebudiman9593  setujuhhh,youtube
"Berasa kembali kejaman sd, rame2nya teror sms yg kyk gitu, ada yg inget?",youtube
Goblok serem bangett,youtube
Baru denger monolognya  ja uda dag dig dug 😂 kek jd bayangin yg serem2,youtube
"Yg season 1 ajah gue sampe ga bisa tidur, gmn pas season 2 nya ya",youtube
0:25,youtube
Suara siapa sih itu kayak suara prilly gk sih,youtube
Dijamin sesek lihat film ini seperti ps1,youtube
"Harus diangkatndi tiktok sih biar rame,semoga bisa ngalahin kkn",youtube
"ini film wajib bgt tembus gantiin KKN desa ponari. KKN desa ponari cerita ga seru2 amat, ga serem2 amat juga menang di tonton krn pas aja wkt lebaran tayang. ini wajibbbb bgt ngalahin sih, the real film horor indonesia",youtube
Serem ajg,youtube
"Gilaa teasernya, pake sound sma narasi aja udah bikin merinding",youtube
Udah kedua aja harus nonton nanti bulan Agustus mantul 😍😍😍,youtube
musicnya yg bikin kaget,youtube
Ayo tiktok bantu hype ne film. Jgn kkn aja kalian bantu. Ne film 10 x lebih seram dari kkn.buktinya aja belum ada tiktok tahun Itu bisa tembus 4 juta pentonton.,youtube
Ahhh baru ngeliat teaser nya! Merinding karna gak suka nonton horrot,youtube
teaser ke 2 udh muncul gaess,youtube
Njir udh srem bru teasernya doang jg..hrusnya ini bsa meldak dr kkn 😂,youtube
"Bengek, malem2 liat merinding gua😭",youtube
Model nya mrip insidious ni,youtube
Wajib nonton nih. Tahun 2017 yg pertama aja gw nnton sampe nutup muka full hahaha,youtube
"ga usah ngalahin sih
heheh
nikmatin aja",youtube
Kamu aja sono bolak balik sampe 10 juta kalii klo mau ngalahin kkn,youtube
Film Jokan jarang ngecewain. Karena quality yang diimbangi riset kuatin logic dan antimainstream.,youtube
"Bang Joko, please... Sri Asih bang...",youtube
teasernya aja udah pecahh,youtube
tanggal berapa si ini mulai nya,youtube
Sebelum nonton ini ada baiknya mempelajari trng sekte satanic dulu biar makin relate dan serem,youtube
"Mudah""an seviral kyak dulu lagi tembus 4 jt penonton PS 1 dan se-vibe KKN DI DESA PENARI 7 jt penonton, goodluck film PS 2 comunion amiiin YRA... 🤲🏽🤲🏽🤲🏽",youtube
kuweren cuuuggg,youtube
Aroma conjuring,youtube
Agustus rilis 😍,youtube
B aja,youtube
"Lihat hype film horor sebelah yg begitu tinggi, ada harapan baru untuk perfilman Indonesia. Senang melihat kabar ini. Terlebih film Pengabdi Setan 2 yg mau tayang tanggal 4 Agustus. Udah nggak sabar ini bg Jokan. Mudah2an ya dalam waktu dekat muncul First look, awal bulan Juni teaser, awal bulan juli trailer (saking nggak sabarnya lihatin perbedaan jarak rilis Pengabdi Setan untuk teaser 1 dan 2, dan juga trailernya hahaha)

Menurut aku secara tidak langsung bg joko anwar dan Rapi Film, seharusnya dalam waktu dekat ini keluarin Teasernya, karna memanfaatkan momentum yg ada saat ini dimana para penikmat horor Indonesia lagi diatas langit perkara film yg diangkat dari twitter. Lagi rame film horor dan muncul lagi teaser PS2, orang2 pasti berpikiran wah ada lagi ini film horor bagus dari bg joko anwar. Jadi buat exited para penikmat film horor. 

Aku juga datang kemari berkat hype yg ada sekarang ini. Istilahnya melepas rindu karya bg joko anwar, nonton lagi mini teaser ini. Duh nggak sabar dijemput Ibu.

Maju Perfilman Indonesia",youtube
Semoga etannya jgn kek kmrin bs megang benda trs bs nusuk.. mending dibikin orng kerasukan atau mati kerasukan atau celaka lbh serem #IMO,youtube
Mohon banget yah tolong donk dipercepat tayangnya 😭😭😭gak sabar banget deh yg Pengabdi Setan 2 Communion nih gak sabar deh buat nonton nya,youtube
"Jangan sampai yang kedua penonton nya sedikit pasti bisa nih tembus 4,2 juta penonton mungkin 7 juta. 🤲",youtube
Film horor paling serem mnrt gw,youtube
Ga mau tau pokonya harus nonton,youtube
Lebih nunggu ini dari pada kkn,youtube
Kaya suaranya rini,youtube
Masih inget scene Anaknya pak ustad pas kecelakaan😭😭,youtube
"No visual, only audio, under 1 minute, but still gives us chill. What a great teaser",youtube
4 agos 2022,youtube
4 agustus 2022,youtube
Lusa pas tgl 2 Juni ada teaser trailer,youtube
Udah bsok teaser nya,youtube
"Iya nih, nggak sabar...",youtube
Selain nunggu Ivanna yg digarap oleh om kimo dan ini juga si,youtube
☝🏾😭,youtube
"August 4, 2022 will be showing in Indonesian cinemas soon!! YGY",youtube
"Pengabdi setan 2 
Akan tayang pada 4 agustus 2022",youtube
"Film pertamanya Satu-satunya film Indonesia yg gw tonton sebelah mata, 😂 serem bgt si ibu bangkit dari kubur jalan-jalan dalam rumah 😂",youtube
aku sangat merinding,youtube
Meriding gilaaa denger nya,youtube
Temanku banyak pengabdi setan,youtube
Anjrit merinding gan,youtube
bapak joko anwar klok buat film horor ga prnh gagall keren abisss,youtube
Merinding woii tapi ini ditunggu tunggu bangett si !!! 😭😭,youtube
Pertama kali nonton langsung terpesona dengan nih film ampe lupa kalau ini film lokal,youtube
Baru teasernya aja udh merinding 🙂keren bangeet apalagi ini saya nonton pake earphone rasanya kaya d bioskop kalau pake earphone😭pkoknya dah ga sabar pengen cepet-cepet tayang d bioskop film pengabdi setan 2 ini🥺,youtube
https://youtu.be/n3mkpLLbDKM,youtube
tonton trailer film sukmailang ya kakak 🙏,youtube
Kapan filmnya tayang bos udh gak sabar pengen nentot,youtube
"kapan tayang woi?
gw lagi nonton nih,yg season 1 nya ngeri banget sumpah😭",youtube
Suara ian ini??,youtube
ini film horor terbaik. tanpa adegan esek2. jadi lebihh menarik,youtube
Gilak min kayak siksaan dalam kubur,youtube
kerennnnnnnnn,youtube
INI KAPAN RILISS,youtube
"Pengabdi setan 1980 lukisan berlumur darah sundel bolong tumbal iblis cincin berdarah malam satu suro bayi ajaib beranak dalam kubur dukun ilmu hitam putri Kuntilanak pembalasan Nini Thowok
Misteri malam pengantin si manis jembatan Ancol pembalasan setan karang bolong

Film horor jadul emang serem nya kebangetan",youtube
Agustus katanya,youtube
Bila date nya ? Tak sabar nak tengok 😍,youtube
wah langsung merindinggg panjang,youtube
Pengabdi Setan X SiksaKubur,youtube
Yaahh.... Dulu nonton pengabdi setan sama ayang.. ini malah muncul yg kedua. Gue nonton sama siapa woyyyy? Gak punya ayang..,youtube
bakal seru nih filmya. harus nonton bareng2 tambah seru teriak bareng takut bareng . siapin cemilan biar ga terlalu tegang 😀,youtube
"Anjirr, ngerii",youtube
mana trailer nya? suara doang mana serem...... jangan pelit pelit dong 🙂,youtube
Coba puter 0.25. Wkwkwkw jadi lucu.,youtube
Kayak film pendeknya joko anwar pas anak kecil masuk peti mati bapaknya,youtube
Gak sabar mau nonton,youtube
"Takde gambar hantu✅
Takde jumpscare✅
Takde expose scene dalam movie✅
AUDIO DIYE JE DAH BUAT SERAM APETAH LAGI MOVIE😭",youtube
Dari teaser singkat ini aja.kkn desa penari ga akan ada yang nunggu lagi,youtube
Ini Ratu felisha atau Tara basro ya?,youtube
kapan releasenyaa,youtube
Debut streamnya Kureiji Ollie 4 Desember 2020:,youtube
"Mendingan nungguin ini ajalah, daripada nungguin KKN ga tayang²",youtube
Coba cerita dari webtoon Radio Algeria di bikin 😌 alna cucok buat bang Joko Anwar mengangkatnya jadi film saking creepy nya 🤭,youtube
Siksa kubur vibe,youtube
Ini kapannnnn,youtube
Pengabdi setan  1 suasana nnton masih boleh dempet2 aja masih berasa horor.  Apalagi di kasih jarak 😭 kebayang ga tuh,youtube
Me too,youtube
"In Indonesian it was released on 4 August, in Malaysia probably between 10 - 20 August",youtube
Di malay ada movie horor kah? Beberapa tahun lalu munafik 1 2,youtube
 @valerie5805   none . Malay so boring hahaha,youtube
Balikan,youtube
apehal tuhh,youtube
4 agustus 2022,youtube
"jadi ini yang waktu itu dibilang sama almarhum temen (kebetulan dia salah satu kameramen yang terlibat dalam film Gundala), katanya waktu itu ""ssttt something's cooking""",youtube
Nge liat mini teaser Pengabdi setan 2 kaya nge liat video siksa kubur,youtube
Mau takut tapi logika ingin ketawa.... Btw pengen bgt nonton ini secepatnya.... penasaran bgt,youtube
Tayang nya kapan ini film?,youtube
"Yang disebut di ""mereka datang lagi"" itu maksudnya para pengabdi setannya atau malaikat kubur yang mau tanya-tanya ya?",youtube
keluarkan first look nya dong dah gak sabarrrrrrr,youtube
"PHP min, katanya 22:22 😠",youtube
"Esok sekolah...
Hati gelisahhhh
Ohhh sungguh susahhhhhh",youtube
Semoga endingnya ga pocong zombie zombie an lagi. Asli film keren rusak sama pocong banyak banyak jd zombie bukanya serem malah jd aneh. Lebay,youtube
"Baru liat teasernya udh takut 😂😂 apalagi pas filmnya ya haha, gasabar nih, pasti serem nya dobel",youtube
Woi tolong dia dikubur hidup-hidup tu tolong,youtube
njir suarany disturbing bner,youtube
Jauh sekali mereka tinggalkan film Malaysia yang bodoh2. Congrats industri dan pemain film Indonesia.,youtube
Jd pngen rajin ibadah,youtube
Jaw drop. Genius !,youtube
Kapan rilis ?,youtube
Ga sabar mau nonton hehe,youtube
"Baru suara nya aja dh bikin merinding ....  
Pengabdi setan yang pertama aja itu bikin merinding sampe ke bawa mimpi ..
  ... sangat di tunggu ni film asal jgn tayang  di bulan puasa aja 😊",youtube
"Setelah ngomong daging nya digigit belatung , dia ngomong apa lagi?",youtube
Ini suaranya mondy gw ingettt,youtube
4 agustus 2022,youtube
"Jadi gini bang, filmnya yang original, yg taun 1982 (kalo g slh), itu endingnya juga begitu, dan itu jadi icon dari film pengabdi setan yg dulu, mayat hidup. Nah, otomatis, demi tidak menghilangkan rasa respek para pembuat remake yg 2017, adegan iconic di film ori nya ga diilangin.. gitu
Singkirkan lah mindset² zombie, mereka tu mayat hidup, mayat, dah dari kuburan. Bukan cuma gara² digigit virus :)",youtube
" @pluz1243  tau kok itu film remake, ga nyuruh hilangin iconic juga, cuma kan bs lebih dimaksimalin visualnya drpd mirip zezombian lebih dibikin agak adem dikit ga lebai gtu. Ga serem malah jd aneh",youtube
Movie malaya yg munafik 1 atau 2 si ok ( pertama kali nonton movie malay ) sisanya g tau deh,youtube
Intinya dia bilang di dalam kubur dia disiksa sama 2 org ya alias malaikat munkar nankir,youtube
"Inget bener dulu liat pengabdi setan 1,,
Serem bener, eh pas bagian sekuburan bangkit nyerang rumah, malah ngakak, greget bngt,, seketika horor berubah jadi kocak,, 😂🙏",youtube
"Danur gak sekelas banget sama Pengabdi Setan, ini baru Film Horror",youtube
semoga sebagus part 1 nya,youtube
kapaan tayangnyaaa?🥺,youtube
Waktu nonton pengabdi setan jujur pulang nya takut bahkan sepulang dr nonton pun di gedung bioskop di parkiran aja sampai parno.... Belum lagi pas sampai rmh ngak berani matiin lampu,youtube
"Sekalian aja adain sekuel kelanjutan film 'Ratu Ilmu Hitam' pemain lama nya masih tetap seperti Hannah Al Rashid, Ario Bayu, Ari Irham, Adhisti Zara, Muzzaki Ramdhan, Miller Khan, Salvita Decorte, Imelda Therinne, Sheila Dara Aisha, Giselma Firmansyah, Shenina Cinnamon, Giulio Parengkuan, Putry Ayudya, Ruth Marini, Kalau perlu tambahin karakter baru yang cocok terlibat di film Ratu Ilmu Hitam 2 seperti Marissa Anita, Widika Sidmore, Arya Vasco, Baskara Mahendra, Karina Salim, Angga Yunanda, Yoriko Angeline, Widuri Putri, Kafin Sulthan, Clift Sangra sama Dian Sastrowardoyo. Makin seru banget tuh jika dilibatkan pada sekuel kelanjutan nya film Ratu Ilmu Hitam 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👍👍👍👍👍👍👍👍👍👍👍👍👍",youtube
Nunggu rilis,youtube
Kapan tayang di bioskop min?,youtube
Ko blm tayang ya di bioskop,youtube
"versi saya tetep sampe saat ini film joko yang paling mencekam adalah PTJ.
g tau ntar kalo PS chapter 2 tayang apakah sesuai ekspektasi saya.",youtube
Kpn tayang nya di bioskop,youtube
"Jangan lupa saksikan juga Film horror BUYUT, film yang mncritakan legenda mistis dari Pulau Bangka yang diangkat ke Layar Lebar. Nantikan di pertengahan Tahun di Bioskop seluruh Indonesia 🤩❤😊😊.. di produksi oleh PH. AFICI ENTERTAINMENT 📽🎬
Lihat Official Trailer nya di Afici Channel 😊
https://youtu.be/tCR-m0mw10M",youtube
Tayang di bioskopnya kapan ya?,youtube
ANYING BARU TEASER INI UDAH SEREM,youtube
Sepanjang film yg pertama aku jerit terus karena nakutin bgt si parah,youtube
"astagfirullah,,, saya solat dulu min, belum solat ini,,",youtube
Cuma denger suaranya aja udh njirrr...apalagi ada gambarnya😅,youtube
Kayaknya tayang nya pas lebaran 🙃,youtube
Kek nya habis lebaran gak sih ini tayang nya,youtube
Ingat jaman hantu Vina Cirebon? Nah ini mirip banget!.,youtube
Wkwkw,youtube
"nah gini dong, teaser ga perlu nunjukin gambar atau penampakan kaget kagetan yg teriak

ini aja udah serem",youtube
Ga sabar akutuuuuh,youtube
gila serem bngett,youtube
wawwww,youtube
Cant wait to see this film yang pasti pirameeun pisan aslina gesss,youtube
Ini tayangnya jadi kapan yaaa?,youtube
gasabar😢,youtube
Jangan pelit biar kuburannya gak sempit,youtube
gilaaa pdahal nonton nya pas terang gini tapi tetep aja merinding.... gk sabar sih sih nunggu rilisnya,youtube
Ini ian kali ya,youtube
Teaser nya aja udah serem kayak gini,youtube
Merinding parah,youtube
Buat yg gatau jadi pengabdi setan ada yg dari tahun 90an guys kalo mau nonton coba aja cari cari seru juga film nya yg 90an serem nya juga dapet tegang nya juga dapet,youtube
1 pertanyaan terbesar : mampukah melebihi popularitas film sebelumnya ? We'll see,youtube
"Kenapa rata rata film indonesia suara dialog aktornya ga begitu jelas ya, padahal dengernya udah pake headset. Beda sama sinetron",youtube
aaaaaa gasabar banget,youtube
❤❤❤,youtube
FILA MANA ELO,youtube
"Nah, trailer begini keren. Bikin penasaran tanpa menampilkan gambar.",youtube
"Ini baru teaser udah merinding
Berasa nonton siksa kubur 😭😭",youtube
"Lebay njir 🤣🤣🤣🤣🤣 ""satu pertanyaan terbesar, mampukah blablabla"" anjir geli baca nya ekwkwkwkwk 🤣🤣🤣",youtube
Ya sesuai ekpresi bre lu kalo ketakutan seketika suara lu mau teriak susah kaya ilang dan badan seketika mengalami lumpuh sementara( g bisa gerak),youtube
Jikjin,youtube
"Saya jd bingun yak, org udah mati, udh dikubur pula, tp msh ngeluh kek org hidup. Bisa bilang kuburan ny sempit, padahal kuburan ya ukuran nya emang seperti itu, gak seluas rumah nya indra kenz, lalu orang mati mana yak, yg jazad nya dikubur gk digigitin belatung, trus masih bisa merasakan sakit krn jasad nya yg digigitin belatung itu.",youtube
njirrr denger doang aja gak berani aku,youtube
Habis nonton ini langsung shalat maghrib takut siksa kubur :(,youtube
Pikoknya harus lbh serem dr yg pertma ya...,youtube
Please jangan kaya ono ditunda terus,youtube
Si ibu datang lagi,youtube
TBL TBL TBL,youtube
Udh di bilangin kok,youtube
Tanggal dan bulan berapa si tayangnya?,youtube
"Gara gara teaser ini jadi download tixid lagi 
Gasabar pengen nonton",youtube
"buseet, gitu doang tapi bikin merinding!",youtube
Ini fim serem banget sih sampe kebayang bayang gitu ...,youtube
Ngeri banget  gabisa tidur jadinya 😭😭😭😭,youtube
Man Rabbuka! Seketika langsung inget shalat 😭,youtube
Beda emang levelnya joko anwar,youtube
gw juga mikir pengabdi setan 1 banyak banget plot hole kayak contohnya adegan orang yang tiba tiba muncul dan membuat anak pak ustadz kecelakaan itu siapa dan masih banyak lagi,youtube
"Gila sih mini teaser nya aja udh bikin merinding, aku yakin sih ini bakal lebih baik dari yg pertama",youtube
Anjyy,youtube
dengee teaser aja merinding oi 😭😭,youtube
"Lol bahkan di kedokteran ketika ngurus mayat atau jenazah harus diperlakukan lemah lembut dan ga boleh kasar 
Jelas itu bakal nyakitin si mayit",youtube
 andra lk  biasa bre,youtube
17 Febuari,youtube
 @raffasya9497  itu posternya,youtube
 @raffasya9497  4 agustus,youtube
apaan kayak gini direkomendasi sama yutub,youtube
Ini masih nyambung sama yg pertama kah ceritanya?,youtube
B aja,youtube
Anjir merindinggg cuk,youtube
"#BoikotKKN desa penari, ga jelas diundur2 terus, mending nungguin pengabdi setan 2 😍",youtube
Kuburan nya sempit fix dia pelit,youtube
Jadi inget siksa kuburnya joko anwar,youtube
"mngkin ini horror lokal, tpi w lbih takut nnton hantu indo ktimbang hantu barat",youtube
Pengabdi Setan  remake muncul berbarengan tayang Civil War kalau gak salah.hype org2 pada ke Civil War tp justru PS ini yg bagus menurut saya,youtube
Yang pertama aja ga nonton udah ada sekuelnya wkwkwk,youtube
Film serem apa film azab kubur😂,youtube
KAPAN KELUARNYAAA GA SABAR EUYYY,youtube
ini yg ngomong siapa? masih cerita keluarga ibu yg kemarin atau bwda lagi? soalnya itu kyk bukan suaranya tara basro loh,youtube
baru sekalinya nonton horror indonesia bareng suami dan sama2 tutup mata pake tangan beberapa x...,youtube
Watch..BELATUNG 😱,youtube
Plissss percepat waktu nyaaaaaaaaaa gak sabar,youtube
"Kirain gambarnya yang ga muncul, sampe direfresh bolak balik. Ganti video, balik lagi ke ini. Ternyata emang gini adanya 😫😓😭",youtube
Ini beneran ya? Wah gasabar sumpah... Gw nonton yg pengabdi setan 1 itu merinding parah ga main main bang joko anwar klo buat film horor emg dah the best lah,youtube
anjay bgtuan doang gw mrinding,youtube
bangke serem anjay,youtube
17 February sih,youtube
"Dr jaman purba org +62 paling jago bkin film genre bgni. Basi ! Bkin donk yg kyak super hero captain america, aquaman, wonder woman, dll. Mw liat KREATIVITAS ny...😂",youtube
Nggak yakin kalo ibu datang lagi ^^,youtube
"Gag sabar, penasaran dg sepasang suami istri yg aliran sekte setan ny itu. Yg d akhir film nari2 berdua 😗",youtube
Wkwkwk ngakak anjir,youtube
merinding!,youtube
"Semoga sebagus yang S1 nya
Ini berasa conjuring versi Indonesia",youtube
Gitu doang teaser nya pelit banget,youtube
Just can't wait,youtube
Official 😭😭😭,youtube
Wait ini ada? Can’t waitttt,youtube
Kapan nihh,youtube
"Rapi films?

Terkenal karena sering diroasting oleh bang Razak dari channel ""Cine Crib""

Semoga di film ini nggak dijadikan bahan lawakan lagi oleh Cine Crib.

Mengejek mereka bikin kita ngakak,
Film yg aslinya seram, bisa bikin kita ketawa-ketawa pas denger penjelasan dari mereka",youtube
Ah gila sih ini! Gilaaaaaaa,youtube
Absolutely can't wait !!!!,youtube
"The hell,",youtube
bukannya manggil nya ibu ?,youtube
wah gila luhk,youtube
Inget voce note Kang Yana. :D,youtube
suara doang aja merinding. kapan nih filmnyaaaaaa,youtube
"Gk sabar bngt,, semoga maret udah tayaaang yaa",youtube
Namanya juga teaser bukan spoiler,youtube
muantap.... moga saja bisa juga dirilis di malaysia,youtube
Cuma gelap doang tapi ngena banget ✨👏,youtube
jir merinding banget,youtube
Gila serem banget,youtube
Kemaren saya bertemu di lintasan jalan yang pakek baju pengabdi sate,youtube
"bagus banget konsep teasernya, yg ga nampilin apa"" tapi tetep bikin merinding! ga sabar banget buat nonton ini sih apalagi sama keluarga",youtube
joko anwar is back mother father,youtube
"Mama, ada yang masuk ke bawah perutku..",youtube
"Mama, ada yang masuk ke bawah perutku..",youtube
"Awalnya gue kira orang kirim salam di radio. Tapi kenapa tiba-tiba ada ""kuburan sempit"", ""daging saya digigit belatung"", sama ""di kuburan saya disiksa."" ngeriiiii",youtube
Anjiiir ini teaser apaaan.. mainblowing sangaad,youtube
"Kurang ajar, sialan..🤣😃, baru dengar sepenggal cuplikan aja aku udah merinding...bajingan yg bikin film ini..hahahahahha, bagus bagus ditunggu kehadiran ibu hantu berambut panjang ,wajah super seram, yang  bangkit dari kuburan...hahahahha, aduh mau copot ..deg..degan...belum liat aku sudah lelah..aduh..lelah..hahahahhaha😉",youtube
Ngga terasa dah mau 4th aja,youtube
rilis bulan apa ni?,youtube
Film yg wajib aku tonton,youtube
WOOOOOOOOWWWWWWWWWWWWWW?????,youtube
bener bener ngingetin ke jaman SD dulu suka nelfonin hantu wkwkwk,youtube
"Gak sabar euy, serem bgt walau cuma denger audionya 😰 mudah2an se serem yg tahun 2017 atau ekspektasi nya lebih serem lagi 😆👌",youtube
Bring it on... Sudah gasabar gaesss!!!!,youtube
"Anjirrr, jadi keinget komik-komik siksa kubur jaman SD. Seremmmmm",youtube
UDAH NONTON DAN WOWWWWW!!!! SCENE PER SCENE EPIK BNGT SUMPAHHH 9/10 !!!!,youtube
Akhirnya penantian 5 tahun😭😭😭😭,youtube
Nonton teaser mininya aja gw jauhin hapenya sangking ada jumpskernya kirain 😭😭😭,youtube
Teaser Sri asih dong 😭😭😭,youtube
Semoga lebih wow dan fress,youtube
Semoga sekeren yg pertama 🥶,youtube
"Bgst, cuma suara doang malah bikin merinding.",youtube
"Ya mudah2an gak ada zombie2an, soalnya jadi gak jelas masa dri awal setan/poltergeist eh tiba2 muncul zombie resident evil 😑😑😑",youtube
🔥🔥🔥🔥 yess yess yesss pleasee qaaaa gk sabaarrr,youtube
Film hero nya setelah gundala mna nih pak joko...,youtube
Film hero nya setelah gundala mna nih pak joko...,youtube
Ini kayaknya Jokan daur ulang cerita Siksa Kubur dan Neraka yang juga marak diera itu... Semoga... Biar sadar semua habis nonton... betapa mengerikannya azab itu...,youtube
anjir kok merinding,youtube
Terlalu tinggi ekspetasi dgn film yg pertama akhirnya kecewa.,youtube
"Ngebayangin ntar di Alam kubur, ga ada yang bisa nolongin kecualai amal perbuatan",youtube
Baru aja mini teaser dah merinding 🥶,youtube
kapan tayang nih sudah tdk sabar 😀..saya penggemar horor nih😁,youtube
Cetan rilis dongg ya Allah g sabarrr,youtube
"garapan joko anwar gak perlu diragukan lagi, gak sabar👏🏻👏🏻",youtube
bangs*t!! baru kali ini aku nonton mini teaser pake kecilin suara earphones,youtube
"Mau bagaimanapun juga, orang sabar disayang Allah😁, jadi kalian semua sabar dan tenang ya, semua ada ditangan Bang Joko Anwar, tenang aja, gak bakal ketinggalan kok",youtube
"Wah, teaser nya aja udah serem ya guys😌.",youtube
"Padahal ga nampakin hantu apa-apa, ga pake backsound yg ngagetin banget tapi merinding banget liatnya..... Semoga bisa sesukses yg kemarin ya Filmnya",youtube
Kurang ajar dngar sekali tdk cukup.,youtube
"moga cepet rilis, karena mumpung taun ini gak banyak rilisan film luar yang bagus",youtube
Pingin nonton full movie nya ih...seandainya ada di yuotube atau di tv🥺,youtube
Segini aja udh keren,youtube
Buruan,youtube
SEREM PLEASE,youtube
"Wah wah waah jadi gak sabar nih pengen nonton, waktu PS yang pertama aja spontan kaki sampe naik ke kursi 😄 yang kedua mudah²an lebih serem 😭",youtube
Astagfirullah,youtube
Ini ada CJ ENT. nya ga si guys?,youtube
AAA SORRY TELAT 😭 SUMPA CANT WAITT,youtube
"Keingett lagi wktu streaming film nih, so iye nontonya sndrian d kamer yg d gelapin, ehh malah mrinding2 trs  kbyang2 😅
Waitingg yg keduannya dahh ttep",youtube
Communion : Body of Christ,youtube
Teasernya dwhong........,youtube
"Jadi keinget trailernya Alfred Hitchcock, nggak perlu nunjukin cuplikan film cukup doi ceritain ada kejadian apa aja di bates motel dan buat penontonnya penasaran pengen cari tau",youtube
Video nya gelap doank aja...,youtube
